Geo_Code,2031 Population Growth Rate with income 20% or under of area median household income (AMHI),2031 Population Trend with income 20% or under of area median household income (AMHI),2031 Population Growth Rate with income 21% to 50% of AMHI,2031 Population Trend with income 21% to 50% of AMHI,2031 Population Growth Rate with income 51% to 80% of AMHI,2031 Population Trend with income 51% to 80% of AMHI,2031 Population Growth Rate with income 81% to 120% of AMHI,2031 Population Trend with income 81% to 120% of AMHI,2031 Population Growth Rate with income 121% or over of AMHI,2031 Population Trend with income 121% or over of AMHI,2031 Population Growth Rate 1pp HH,2031 Population Trend 1pp HH,2031 Population Growth Rate 2pp HH,2031 Population Trend 2pp HH,2031 Population Growth Rate 3pp HH,2031 Population Trend 3pp HH,2031 Population Growth Rate 4pp HH,2031 Population Trend 4pp HH,2031 Population Growth Rate 5pp HH,2031 Population Trend 5pp HH
2445,-0.278571429,288.5714286,0.158088825,5159.285714,0.181063123,6094.285714,0.06012024,5290,0.134148055,11534.28571,0.179398148,10190,0.15625625,12389.28571,-0.010103845,2519.285714,-0.005952381,2147.142857,0.006349206,1132.142857
2446,-0.172684458,376.4285714,0.215016068,5941.428571,0.215384615,7110,0.210808832,7089.285714,0.225296198,14109.28571,0.265337763,12242.14286,0.234928913,14207.85714,0.118896926,3535.714286,0.099356499,3050.714286,0.099851705,1589.285714
2447,-0.936170213,30,0.1111451,7783.571429,0.132946001,9471.428571,0.053251999,9126.428571,0.076056584,17604.28571,0.180582621,16876.42857,0.100064977,16930,-0.135515448,4037.142857,-0.119601329,3596.428571,0.05832106,2566.428571
2448,-0.670807453,37.85714286,-0.014365523,882.1428571,0.060606061,1575,0.026996625,1304.285714,0.071161049,2860,0.141215107,2482.142857,0.071428571,2635.714286,-0.217279726,653.5714286,-0.133004926,502.8571429,0.025974026,395
2449,-0.599810785,302.1428571,0.173759491,9495.714286,0.130153778,10866.42857,0.094071319,10716.42857,0.129998513,21718.57143,0.183924389,20221.42857,0.132066825,19409.28571,-0.018786693,5372.142857,0.009475951,5022.142857,0.101020408,3082.857143
2450,-0.617511521,59.28571429,0.120481928,1860,0.085855032,2204.285714,-0.002721088,2094.285714,0.074393531,4270.714286,0.170038831,4089.285714,0.072685096,3963.571429,-0.171923315,956.4285714,-0.100923952,903.5714286,0.03034134,582.1428571
2451,-0.614555256,102.1428571,0.033429094,2826.428571,0.095511375,3817.857143,0.082180115,3630.714286,0.087118084,7522.857143,0.162834527,6610.714286,0.105889724,7564.285714,-0.205500382,1485.714286,-0.113019892,1401.428571,0.076433121,845
2452,-0.952380952,13.57142857,0.152202937,3698.571429,0.111898545,4258.571429,0.07646356,4505,0.100762784,8349.285714,0.182315189,7105.714286,0.118718888,8507.857143,-0.041548093,2405.714286,-0.082171127,1739.285714,-0.005291005,1074.285714
2453,-0.701680672,101.4285714,0.091998704,4815.714286,0.096301668,5399.285714,0.101720269,5260.714286,0.051805338,10528.57143,0.173694147,10657.14286,0.090179032,10569.28571,-0.199529903,2189.285714,-0.129486277,1767.142857,0.012288786,941.4285714
2454,-0.994397759,2.857142857,0.122418406,7492.142857,0.156823368,9052.142857,0.082656182,8850.714286,0.097338264,17167.85714,0.189051689,16694.28571,0.092767053,15162.14286,-0.057455113,4312.142857,-0.034729681,3851.428571,0.087115443,2549.285714
2455,-0.796992481,38.57142857,0.120648259,2667.142857,0.204264392,4034.285714,0.106450926,3712.142857,0.188095238,7128.571429,0.263235055,5539.285714,0.149068323,6607.142857,0.050616051,2253.571429,0.061917195,2033.571429,0.066137566,1151.428571
2456,-0.87755102,102.8571429,0.138523363,10320.71429,0.124670276,11572.85714,0.086647821,11806.42857,0.097050625,22769.28571,0.164666409,19339.28571,0.102546715,20904.28571,-0.033576642,6620,0.023866896,6373.571429,0.051293588,3337.857143
2457,-0.315789474,650,0.155974243,10386.42857,0.177399582,11662.14286,0.146295199,13812.85714,0.163900854,23545.71429,0.240157696,16177.85714,0.162237868,21931.42857,0.066755674,8560.714286,0.097886729,9277.142857,0.09984639,4091.428571
2458,-0.258842126,2679.285714,0.075725824,32632.14286,0.122199355,41285.71429,0.095751904,42652.14286,0.089198232,81150.71429,0.160742548,69673.57143,0.082707369,67642.14286,0.003026634,26038.57143,0.017986267,23932.85714,0.07532361,13113.57143
2459,-0.344023324,321.4285714,0.193737769,6100,0.146258503,7221.428571,0.064139942,8082.142857,0.154925391,13876.42857,0.265292616,9559.285714,0.179009257,13464.28571,0.000282048,5066.428571,-0.010989011,5142.857143,0.047828823,2378.571429
2460,-0.6910299,199.2857143,0.176165803,10215,0.161895497,11944.28571,0.098505268,12808.57143,0.140938869,22516.42857,0.229488958,16462.85714,0.148970748,21210,0.024684535,7946.428571,0.006353619,7240.714286,0.147268409,4830
