Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Campbellton C (1314014) 00000 (  6.5%),"Campbellton C (CSD, NB)",48400,9680,24200,38720,58080,"<= $9,680","$9,680 - $24,200","$24,200 - $38,720","$38,720 - $58,080",">= $58,081",1210,242,605,968,1452,<= $242,$242 - $605,$605 - $968,"$968 - $1,452",">= $1,453"
  Tide Head VL (1314015) 00000 (  1.0%),"Tide Head VL (CSD, NB)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,2580,<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  Eldon P (1314016) 00000 (  7.3%),"Eldon P (CSD, NB)",54000,10800,27000,43200,64800,"<= $10,800","$10,800 - $27,000","$27,000 - $43,200","$43,200 - $64,800",">= $64,801",1350,270,675,1080,1620,<= $270,$270 - $675,"$675 - $1,080","$1,080 - $1,620",">= $1,621"
  Dalhousie TV (1314017) 00000 (  5.4%),"Dalhousie TV (CSD, NB)",52800,10560,26400,42240,63360,"<= $10,560","$10,560 - $26,400","$26,400 - $42,240","$42,240 - $63,360",">= $63,361",1320,264,660,1056,1584,<= $264,$264 - $660,"$660 - $1,056","$1,056 - $1,584",">= $1,585"
  Kedgwick RCR (1314020) 00000 (  4.4%),"Kedgwick RCR (CSD, NB)",56400,11280,28200,45120,67680,"<= $11,280","$11,280 - $28,200","$28,200 - $45,120","$45,120 - $67,680",">= $67,681",1410,282,705,1128,1692,<= $282,$282 - $705,"$705 - $1,128","$1,128 - $1,692",">= $1,693"
  Saint-Quentin P (1314021) 00010 ( 10.5%),"Saint-Quentin P (CSD, NB)",74500,14900,37250,59600,89400,"<= $14,900","$14,900 - $37,250","$37,250 - $59,600","$59,600 - $89,400",">= $89,401",1862.5,372.5,931.25,1490,2235,<= $373,$373 - $931,"$931 - $1,490","$1,490 - $2,235",">= $2,236"
  Saint-Quentin TV (1314022) 00000 (  5.3%),"Saint-Quentin TV (CSD, NB)",57200,11440,28600,45760,68640,"<= $11,440","$11,440 - $28,600","$28,600 - $45,760","$45,760 - $68,640",">= $68,641",1430,286,715,1144,1716,<= $286,$286 - $715,"$715 - $1,144","$1,144 - $1,716",">= $1,717"
  Belledune VL (1314025) 00000 (  4.0%),"Belledune VL (CSD, NB)",50000,10000,25000,40000,60000,"<= $10,000","$10,000 - $25,000","$25,000 - $40,000","$40,000 - $60,000",">= $60,001",1250,250,625,1000,1500,<= $250,$250 - $625,"$625 - $1,000","$1,000 - $1,500",">= $1,501"
  Tracadie MRM (1315002) 00000 (  2.5%),"Tracadie MRM (CSD, NB)",61600,12320,30800,49280,73920,"<= $12,320","$12,320 - $30,800","$30,800 - $49,280","$49,280 - $73,920",">= $73,921",1540,308,770,1232,1848,<= $308,$308 - $770,"$770 - $1,232","$1,232 - $1,848",">= $1,849"
  Allardville P (1315006) 00000 (  1.4%),"Allardville P (CSD, NB)",58000,11600,29000,46400,69600,"<= $11,600","$11,600 - $29,000","$29,000 - $46,400","$46,400 - $69,600",">= $69,601",1450,290,725,1160,1740,<= $290,$290 - $725,"$725 - $1,160","$1,160 - $1,740",">= $1,741"
  Bathurst P (1315008) 00000 (  3.4%),"Bathurst P (CSD, NB)",75000,15000,37500,60000,90000,"<= $15,000","$15,000 - $37,500","$37,500 - $60,000","$60,000 - $90,000",">= $90,001",1875,375,937.5,1500,2250,<= $375,$375 - $938,"$938 - $1,500","$1,500 - $2,250",">= $2,251"
  Bathurst C (1315011) 00000 (  3.5%),"Bathurst C (CSD, NB)",55200,11040,27600,44160,66240,"<= $11,040","$11,040 - $27,600","$27,600 - $44,160","$44,160 - $66,240",">= $66,241",1380,276,690,1104,1656,<= $276,$276 - $690,"$690 - $1,104","$1,104 - $1,656",">= $1,657"
  Beresford P (1315012) 00000 (  1.5%),"Beresford P (CSD, NB)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,2055,<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Pointe-Verte VL (1315013) 00000 (  2.0%),"Pointe-Verte VL (CSD, NB)",73000,14600,36500,58400,87600,"<= $14,600","$14,600 - $36,500","$36,500 - $58,400","$58,400 - $87,600",">= $87,601",1825,365,912.5,1460,2190,<= $365,$365 - $913,"$913 - $1,460","$1,460 - $2,190",">= $2,191"
  Petit-Rocher VL (1315014) 00000 (  1.4%),"Petit-Rocher VL (CSD, NB)",59600,11920,29800,47680,71520,"<= $11,920","$11,920 - $29,800","$29,800 - $47,680","$47,680 - $71,520",">= $71,521",1490,298,745,1192,1788,<= $298,$298 - $745,"$745 - $1,192","$1,192 - $1,788",">= $1,789"
  Beresford TV (1315015) 00000 (  2.6%),"Beresford TV (CSD, NB)",64000,12800,32000,51200,76800,"<= $12,800","$12,800 - $32,000","$32,000 - $51,200","$51,200 - $76,800",">= $76,801",1600,320,800,1280,1920,<= $320,$320 - $800,"$800 - $1,280","$1,280 - $1,920",">= $1,921"
  New Bandon P (1315016) 00000 (  6.5%),"New Bandon P (CSD, NB)",58800,11760,29400,47040,70560,"<= $11,760","$11,760 - $29,400","$29,400 - $47,040","$47,040 - $70,560",">= $70,561",1470,294,735,1176,1764,<= $294,$294 - $735,"$735 - $1,176","$1,176 - $1,764",">= $1,765"
