Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
Ottawa (3506) 00000 (  3.1%),"Ottawa (CD, ON)",103000,20600,51500,82400,123600,"<= $20,600","$20,600 - $51,500","$51,500 - $82,400","$82,400 - $123,600",">= $123,601",2575,515,1287.5,2060,3090,<= $515,"$515 - $1,288","$1,288 - $2,060","$2,060 - $3,090",">= $3,091"
Leeds and Grenville (3507) 00000 (  3.0%),"Leeds and Grenville (CD, ON)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
Lanark (3509) 00000 (  3.3%),"Lanark (CD, ON)",88000,17600,44000,70400,105600,"<= $17,600","$17,600 - $44,000","$44,000 - $70,400","$70,400 - $105,600",">= $105,601",2200,440,1100,1760,2640,<= $440,"$440 - $1,100","$1,100 - $1,760","$1,760 - $2,640",">= $2,641"
Frontenac (3510) 00000 (  6.2%),"Frontenac (CD, ON)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
Lennox and Addington (3511) 00000 (  3.7%),"Lennox and Addington (CD, ON)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,2550,<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
Hastings (3512) 00000 (  4.8%),"Hastings (CD, ON)",75000,15000,37500,60000,90000,"<= $15,000","$15,000 - $37,500","$37,500 - $60,000","$60,000 - $90,000",">= $90,001",1875,375,937.5,1500,2250,<= $375,$375 - $938,"$938 - $1,500","$1,500 - $2,250",">= $2,251"
Prince Edward (3513) 00000 (  5.0%),"Prince Edward (CD, ON)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
Northumberland (3514) 00000 (  2.5%),"Northumberland (CD, ON)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,2520,<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
Peterborough (3515) 00000 (  5.9%),"Peterborough (CD, ON)",79000,15800,39500,63200,94800,"<= $15,800","$15,800 - $39,500","$39,500 - $63,200","$63,200 - $94,800",">= $94,801",1975,395,987.5,1580,2370,<= $395,$395 - $988,"$988 - $1,580","$1,580 - $2,370",">= $2,371"
Kawartha Lakes (3516) 00000 (  4.7%),"Kawartha Lakes (CD, ON)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
Durham (3518) 00000 (  2.9%),"Durham (CD, ON)",108000,21600,54000,86400,129600,"<= $21,600","$21,600 - $54,000","$54,000 - $86,400","$86,400 - $129,600",">= $129,601",2700,540,1350,2160,3240,<= $540,"$540 - $1,350","$1,350 - $2,160","$2,160 - $3,240",">= $3,241"
York (3519) 00000 (  2.2%),"York (CD, ON)",112000,22400,56000,89600,134400,"<= $22,400","$22,400 - $56,000","$56,000 - $89,600","$89,600 - $134,400",">= $134,401",2800,560,1400,2240,3360,<= $560,"$560 - $1,400","$1,400 - $2,240","$2,240 - $3,360",">= $3,361"
Toronto (3520) 00000 (  4.7%),"Toronto (CD, ON)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,2550,<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
Peel (3521) 00000 (  2.8%),"Peel (CD, ON)",108000,21600,54000,86400,129600,"<= $21,600","$21,600 - $54,000","$54,000 - $86,400","$86,400 - $129,600",">= $129,601",2700,540,1350,2160,3240,<= $540,"$540 - $1,350","$1,350 - $2,160","$2,160 - $3,240",">= $3,241"
Dufferin (3522) 00000 (  2.6%),"Dufferin (CD, ON)",109000,21800,54500,87200,130800,"<= $21,800","$21,800 - $54,500","$54,500 - $87,200","$87,200 - $130,800",">= $130,801",2725,545,1362.5,2180,3270,<= $545,"$545 - $1,363","$1,363 - $2,180","$2,180 - $3,270",">= $3,271"
Wellington (3523) 00000 (  2.9%),"Wellington (CD, ON)",97000,19400,48500,77600,116400,"<= $19,400","$19,400 - $48,500","$48,500 - $77,600","$77,600 - $116,400",">= $116,401",2425,485,1212.5,1940,2910,<= $485,"$485 - $1,213","$1,213 - $1,940","$1,940 - $2,910",">= $2,911"
Halton (3524) 00000 (  2.0%),"Halton (CD, ON)",121000,24200,60500,96800,145200,"<= $24,200","$24,200 - $60,500","$60,500 - $96,800","$96,800 - $145,200",">= $145,201",3025,605,1512.5,2420,3630,<= $605,"$605 - $1,513","$1,513 - $2,420","$2,420 - $3,630",">= $3,631"
Hamilton (3525) 00000 (  3.5%),"Hamilton (CD, ON)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,2580,<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
