CSDUID
3537001
3547098
3548019
3548091
3549095
3551034
3551094
3554032
3554034
3554038
3554056
3554066
3554091
3556073
3556091
3556098
3557006
3557094
3559047
5903027
5923047
5924029
5933015
5933070
5941025
5943027
5945006
5945014
5947016
5947021
5949022
5949039
5949041
4802002
4803003
4803008
4803016
4804006
4804019
4804021
4805002
4805008
4805009
4805011
4805019
4805034
4805036
4805038
4807004
4807006
4807008
4807016
4807027
4807028
4807029
4807032
4807038
4807046
4808005
4808023
4808025
4808027
4808028
4808042
4809005
4810003
4810006
4810012
4810031
4810038
4810068
4811003
4811004
4811005
4811006
4811007
4811008
4811009
4811020
4811022
4811023
4811038
4811039
4811041
4811042
4811044
4812011
4812013
4812020
4812026
4812038
4813003
4813005
4813006
4813007
4813008
4813009
4813010
4813013
4813015
4813017
4813033
4813045
4813047
4813049
4813051
4813053
4813055
4813057
4813061
4814028
4815013
4815027
4815030
4815032
4815037
4815045
4819048
4617092
4618091
4618093
4620066
4620069
4622017
4701002
4701004
4701012
4701017
4701018
4701019
4701041
4701044
4701058
4701061
4701064
4701067
4701072
4701077
4701079
4701098
4702002
4702006
4702008
4702014
4702016
4702018
4702026
4702028
4702036
4702038
4702048
4702052
4702054
4702061
4702066
4702069
4702071
4702076
4702077
4702079
4703001
4703006
4703012
4703016
4703019
4703041
4703051
4703052
4703061
4703062
4703064
4703074
4703093
4703096
4704002
4704003
4704006
4704008
4704009
4704011
4704021
4704028
4704029
4704038
4704054
4705002
4705019
4705021
4705042
4705043
4705044
4705049
4705050
4705053
4705054
4705055
4705058
4705059
4705060
4705061
4705062
4705068
4705069
4705071
4705096
4706003
4706006
4706009
4706014
4706016
4706018
4706019
4706022
4706033
4706041
4706045
4706046
4706049
4706052
4706054
4706057
4706060
4706062
4706064
4706065
4706067
4706068
4706069
4706073
4706075
4706076
4706077
4706079
4706080
4706081
4706082
4706085
4706093
4706097
4706099
4707004
4707006
4707008
4707011
4707012
4707014
4707016
4707020
4707023
4707027
4707028
4707029
4707031
4707032
4707043
4707044
4707045
4707047
4707048
4707049
4707051
4707058
4707059
4707062
4707066
4707068
4707071
4707072
4707074
4707076
4707077
4707093
4708008
4708009
4708012
4708016
4708018
4708021
4708022
4708024
4708028
4708029
4708034
4708036
4708039
4708046
4708048
4708049
4708053
4708054
4708057
4708059
4708061
4709002
4709009
4709014
4709024
4709038
4709042
4709053
4709056
4709058
4709061
4709065
4709069
4709071
4709076
4710002
4710009
4710011
4710022
4710028
4710029
4710034
4710035
4710043
4710052
4710054
4710072
4711002
4711004
4711006
4711007
4711009
4711021
4711022
4711024
4711028
4711029
4711038
4711039
4711041
4711042
4711048
4711058
4711059
4711060
4711071
4711078
4711092
4711094
4712008
4712011
4712012
4712014
4712019
4712022
4712029
4712031
4712032
4712052
4712069
4712072
4713002
4713004
4713009
4713011
4713014
4713016
4713019
4713021
4713022
4713024
4713029
4713031
4713032
4713038
4713039
4713046
4713053
4713054
4713059
4713062
4713064
4713067
4713076
4713078
4714009
4714025
4714028
4714030
4714036
4714039
4714041
4714048
4714058
4714061
4714068
4714073
4714074
4714091
4714093
4715003
4715005
4715016
4715038
4715043
4715045
4715046
4715047
4715052
4715072
4715085
4715091
4715092
4715098
4716002
4716003
4716004
4716014
4716019
4716024
4716026
4716027
4716043
4716044
4716053
4716057
4716059
4716060
4716063
4716077
4717002
4717004
4717005
4717014
4717019
4717039
4717042
4717053
4717055
4717057
4718012
4718015
4718023
4718028
4718030
4718052
4718069
4718071
4718072
4718075
4718089
2402902
2403015
2403902
2403904
2404015
