,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH
,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI
Geography,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status
Pictou (1212) 00000 (  3.9%),6240,380,2600,1690,1000,565,7460,15,380,1625,2240,3205,2680,0,65,335,595,1680,1875,0,40,135,285,1415,930,0,0,35,150,730
Guysborough (1213) 00000 (  5.9%),1185,55,555,285,155,130,1580,0,70,385,430,690,395,0,15,55,50,265,270,0,0,0,15,235,120,0,0,0,0,105
Antigonish (1214) 00000 (  3.9%),2565,135,1150,730,305,245,3170,15,300,705,820,1330,1115,0,40,100,290,685,935,0,20,50,135,730,560,0,0,25,70,450
Inverness (1215) 00000 (  6.5%),2350,135,1005,675,340,195,2965,0,190,630,855,1280,920,0,35,105,205,575,690,0,20,70,55,545,375,0,0,0,55,310
Richmond (1216) 00000 (  5.6%),1265,105,535,340,180,110,1640,0,70,405,435,730,490,0,0,75,115,305,360,0,0,20,20,310,150,0,0,0,0,145
Cape Breton (1217) 00000 (  3.0%),13635,1000,5815,3560,2025,1235,15640,30,895,3435,4370,6905,6380,0,215,810,1370,3985,4000,0,60,210,565,3165,2020,0,20,60,240,1705
Victoria (1218) 00000 (  7.0%),960,75,420,275,140,50,1280,0,85,290,380,530,380,0,0,30,90,260,245,0,0,20,50,175,165,0,0,0,35,125
Saint John (1301) 00000 (  5.9%),11670,795,4365,3205,2080,1225,12400,110,845,2515,3410,5515,4945,0,165,525,1135,3110,3200,0,55,240,485,2420,1790,0,20,120,310,1345
Charlotte (1302) 00000 (  3.8%),3505,205,1485,955,565,295,4585,20,370,935,1390,1870,1560,0,85,160,310,995,1145,0,20,75,215,840,625,0,20,25,85,485
Sunbury (1303) 00000 (  2.9%),2555,135,965,955,400,100,4300,30,375,850,1610,1440,1875,0,75,255,525,1015,1550,0,30,125,410,985,780,0,15,50,185,530
Queens (1304) 00000 (  7.4%),1600,65,735,375,285,145,2265,0,105,565,555,1035,585,0,20,65,135,365,425,0,0,0,70,330,175,0,0,15,20,130
Kings (1305) 00000 (  3.5%),6315,490,2915,1635,830,445,11120,45,1565,2575,3055,3880,4490,0,300,605,1075,2505,3970,0,95,300,660,2915,2120,0,35,170,360,1550
Albert (1306) 00000 (  3.2%),3250,145,1415,1065,445,180,5090,0,475,1195,1500,1910,2030,0,95,220,545,1170,1560,0,30,105,340,1085,780,0,0,55,140,575
Westmorland (1307) 00000 (  5.3%),19660,1205,8155,5925,2990,1390,26885,125,2405,5870,8065,10415,10275,0,430,1170,2360,6300,8345,0,235,485,1360,6255,3510,0,65,230,625,2585
Kent (1308) 00000 (  4.7%),3535,180,1730,1000,465,175,5785,15,500,1405,1610,2260,1865,0,35,195,485,1160,1300,0,0,60,150,1075,570,0,0,35,75,455
Northumberland (1309) 00000 (  3.2%),5600,305,2490,1490,895,420,7700,30,500,1920,2170,3085,2745,0,90,230,585,1840,1895,0,15,55,265,1555,840,0,0,50,80,700
York (1310) 00000 (  4.2%),12480,710,5040,3560,2125,1045,17230,115,1755,3565,4960,6835,6360,15,305,835,1510,3695,5280,0,115,375,835,3960,2460,0,50,165,465,1780
Carleton (1311) 00000 (  2.2%),2970,205,1290,910,420,150,4190,40,290,970,1190,1695,1565,0,75,165,360,965,1270,0,25,75,245,915,690,0,10,45,100,535
Victoria (1312) 00000 (  3.7%),2370,140,1115,615,355,155,3305,15,130,845,795,1515,1010,0,40,115,180,680,675,0,0,45,85,540,375,0,0,25,35,315
Madawaska (1313) 00000 (  2.5%),4835,345,2100,1335,750,315,5895,20,275,1450,1605,2550,1920,0,40,150,310,1415,1365,0,20,75,105,1170,475,0,0,20,40,405
Restigouche (1314) 00000 (  4.9%),4665,300,1875,1325,775,385,5600,0,225,1230,1550,2575,1795,0,50,150,310,1280,1260,0,0,35,170,1050,465,0,0,0,55,395
Gloucester (1315) 00000 (  3.0%),11160,750,4880,3065,1650,815,14500,75,630,3805,4000,5990,5365,0,130,465,1030,3740,3205,0,30,120,365,2690,1210,0,0,40,105,1060
Communauté maritime des Îles-de-la-Madeleine (2401) 00000 (  4.4%),1815,20,1015,490,210,85,2350,0,270,465,660,955,830,0,0,25,160,635,600,0,0,15,45,535,185,0,0,0,0,175
Le Rocher-Percé (2402) 00000 (  3.7%),2985,80,1350,840,465,250,3185,0,145,695,910,1430,1160,0,15,55,230,860,615,0,0,0,55,550,295,0,0,0,20,270
La Côte-de-Gaspé (2403) 00000 (  3.8%),2615,120,1155,775,415,160,3185,0,225,725,890,1345,1055,0,0,110,245,685,755,0,0,0,45,690,350,0,0,0,25,320
La Haute-Gaspésie (2404) 00000 (  6.2%),2070,40,875,535,435,185,2125,0,65,415,635,1010,580,0,0,50,65,460,385,0,0,0,50,335,185,0,0,0,0,185
Bonaventure (2405) 00000 (  3.9%),2770,70,1395,710,435,160,3240,0,105,765,915,1460,960,0,15,45,165,740,735,0,0,0,70,660,350,0,0,0,20,325
Avignon (2406) 00000 (  3.4%),2135,55,925,585,365,195,2400,0,65,595,605,1120,670,0,0,30,155,470,525,0,0,0,35,475,210,0,0,0,20,190
La Matapédia (2407) 00000 (  5.1%),2995,115,1285,740,595,265,3160,0,115,830,800,1415,825,0,10,50,130,635,720,0,0,0,55,650,375,0,0,0,0,355
La Matanie (2408) 00000 (  4.2%),4095,125,1760,1005,780,425,3960,0,85,880,990,2000,1030,0,0,55,170,785,800,0,0,0,65,710,330,0,0,0,0,325
La Mitis (2409) 00000 (  4.7%),3215,130,1430,800,575,275,3030,0,120,690,835,1380,885,0,15,65,155,650,700,0,0,0,65,630,435,0,0,0,45,385
Rimouski-Neigette (2410) 00000 (  3.7%),10325,410,4190,3180,1700,845,10045,0,355,2040,2860,4770,2905,0,45,230,510,2125,2475,0,0,50,200,2220,1100,0,0,20,90,985
Les Basques (2411) 00000 (  4.7%),1615,25,705,400,325,160,1705,0,60,390,435,815,355,0,0,15,55,285,295,0,0,0,0,275,180,0,0,0,0,170
Rivière-du-Loup (2412) 00000 (  3.7%),5890,210,2375,1830,1065,410,5925,0,275,1250,1745,2645,1700,0,25,120,285,1275,1545,0,0,15,115,1405,750,0,0,0,75,665
Témiscouata (2413) 00000 (  4.8%),3255,95,1545,790,595,230,3720,15,135,840,1000,1720,910,0,0,40,145,715,745,0,0,15,50,680,360,0,0,0,30,325
Kamouraska (2414) 00000 (  2.9%),3205,105,1380,860,645,210,3615,0,140,900,1015,1555,995,0,0,40,215,735,805,0,0,0,75,715,475,0,0,0,30,440
Charlevoix-Est (2415) 00000 (  4.2%),2410,55,1055,715,380,210,2925,0,120,650,845,1295,815,0,0,50,180,575,590,0,0,0,85,500,330,0,0,0,40,290
Charlevoix (2416) 00000 (  4.5%),2135,55,965,620,335,150,2420,0,75,600,655,1100,695,0,0,65,160,470,525,0,0,0,45,470,280,0,0,0,0,265
L'Islet (2417) 00000 (  3.4%),2900,65,1235,800,630,175,3190,0,90,760,975,1355,835,0,20,40,185,590,595,0,0,0,45,540,415,0,0,0,15,395
Montmagny (2418) 00000 (  3.1%),4150,155,1645,1080,855,415,4025,0,105,975,955,1985,970,0,0,45,190,720,995,0,0,30,80,885,410,0,0,0,15,390
Bellechasse (2419) 00000 (  3.0%),4935,200,2155,1490,860,235,5965,0,535,1385,1645,2395,1785,0,25,165,430,1160,1865,0,0,35,285,1530,965,0,0,0,130,820
L'Île-d'Orléans (2420) 00000 (  4.7%),820,40,385,235,100,65,1255,0,115,260,360,515,360,0,20,45,85,210,290,0,0,20,40,230,130,0,0,0,0,120
La Côte-de-Beaupré (2421) 00000 (  4.2%),3950,190,1715,1230,620,195,4895,0,490,985,1610,1790,1640,0,35,160,350,1095,1655,0,0,40,215,1405,740,0,0,25,105,610
La Jacques-Cartier (2422) 00000 (  3.2%),3780,310,1655,1170,460,190,6540,0,805,1615,2250,1860,2970,0,120,495,1085,1270,3475,0,40,255,975,2200,1365,0,0,65,360,925
Québec (2423) 00000 (  3.4%),110920,3955,40400,36025,20820,9715,97820,235,4700,17075,27940,47875,30265,50,715,2290,6030,21175,26370,0,180,615,2295,23265,11225,0,90,265,940,9930
Lévis (2425) 00000 (  2.1%),20890,970,8495,6990,3095,1340,24370,40,1990,5290,7790,9250,8125,0,175,740,1980,5220,8295,0,65,215,930,7085,3360,0,20,75,365,2900
La Nouvelle-Beauce (2426) 00000 (  2.2%),4135,175,1830,1345,590,195,5595,20,630,1245,1875,1825,2020,0,60,245,590,1130,2140,0,20,75,310,1740,1150,0,0,0,180,955
Robert-Cliche (2427) 00000 (  4.2%),2545,110,995,875,415,150,2915,0,170,810,775,1165,905,0,15,70,210,605,970,0,0,0,95,850,555,0,0,0,50,495
Les Etchemins (2428) 00000 (  3.7%),2565,45,1120,710,495,190,2960,0,95,790,840,1235,790,0,0,60,195,535,720,0,0,0,65,635,420,0,0,0,0,390
Beauce-Sartigan (2429) 00000 (  3.3%),8560,275,3615,2525,1630,520,8490,15,335,2045,2510,3580,2610,0,35,170,540,1865,2595,0,0,70,290,2230,1350,0,0,20,110,1215
Le Granit (2430) 00000 (  5.6%),3595,115,1525,1025,670,265,4000,0,115,990,1075,1805,940,0,0,65,170,700,815,0,0,0,65,735,570,0,0,0,25,535
Les Appalaches (2431) 00000 (  3.8%),7490,225,3160,2015,1415,675,7785,25,215,1905,1990,3655,1920,0,25,110,365,1415,1680,0,0,30,100,1545,880,0,0,0,75,790
L'Érable (2432) 00000 (  2.9%),3730,135,1455,1135,705,305,3890,0,105,1100,1030,1660,1050,0,20,45,220,770,1015,0,0,25,95,885,620,0,0,0,40,570
Lotbinière (2433) 00000 (  3.2%),4430,210,1765,1515,700,250,5345,0,475,1285,1555,2020,1785,0,35,165,415,1170,1730,0,0,50,280,1380,925,0,0,0,130,790
Portneuf (2434) 00000 (  3.6%),7920,295,3510,2395,1180,540,9590,35,670,2195,2770,3920,2855,0,55,235,625,1935,2745,0,40,60,330,2315,1230,0,0,25,140,1055
Mékinac (2435) 00000 (  6.7%),2570,50,1050,720,445,300,2615,0,65,565,680,1300,600,0,0,0,115,460,365,0,0,0,40,320,210,0,0,0,0,195
Shawinigan (2436) 00000 (  3.5%),10810,310,4370,2790,2260,1080,9200,0,295,1530,2520,4835,2310,0,15,105,370,1810,1600,0,0,30,105,1450,875,0,0,0,90,770
Francheville (2437) 00000 (  3.0%),29435,1280,11505,8560,5305,2780,27175,40,1035,5250,7530,13325,7975,0,165,550,1470,5765,6570,0,30,145,545,5845,3065,0,0,75,265,2715
Bécancour (2438) 00000 (  2.5%),3100,105,1300,845,545,315,3515,0,165,870,1000,1475,985,0,20,110,195,655,900,0,0,25,90,780,465,0,0,25,80,360
Arthabaska (2439) 00000 (  2.6%),11575,430,4935,3510,1885,815,11970,20,540,2885,3290,5230,3565,0,85,290,840,2355,3455,0,20,105,325,3010,1820,0,0,60,175,1575
Les Sources (2440) 00000 (  5.0%),2470,40,1110,640,445,235,2575,0,75,560,745,1195,640,0,0,45,105,480,535,0,0,0,45,475,320,0,0,0,0,305
Le Haut-Saint-François (2441) 00000 (  2.7%),2955,135,1370,715,535,205,3740,0,225,980,1080,1440,1120,0,20,105,255,735,1005,0,0,20,155,820,675,0,0,30,65,575
Le Val-Saint-François (2442) 00000 (  3.0%),4080,220,1730,1225,640,265,5220,20,390,1270,1480,2060,1545,0,45,180,360,965,1555,0,20,40,165,1330,860,0,0,25,95,745
Sherbrooke (2443) 00000 (  3.8%),31260,1140,12360,9150,5555,3050,27490,65,1200,5805,7440,12985,8685,25,220,625,1845,5965,7600,0,65,230,660,6635,4150,0,0,100,380,3655
Coaticook (2444) 00000 (  2.8%),2405,75,1115,770,295,145,2935,0,135,650,970,1175,865,0,20,90,210,555,820,0,0,30,110,680,580,0,0,0,65,495
Memphrémagog (2445) 00000 (  5.3%),8640,355,3690,2455,1220,920,10715,30,685,2345,2835,4825,2545,0,65,285,550,1640,2160,0,0,60,310,1775,1125,0,0,20,85,1010
Brome-Missisquoi (2446) 00000 (  4.6%),9675,425,4060,2685,1500,1000,11505,25,665,2615,3085,5115,3160,0,110,345,690,2005,2775,0,35,150,410,2185,1445,0,0,55,165,1215
La Haute-Yamaska (2447) 00000 (  2.9%),14295,455,6225,4340,2325,955,15390,15,625,3455,4520,6775,4670,0,115,395,1015,3135,4085,0,30,130,535,3390,2425,0,0,35,275,2110
Acton (2448) 00000 (  2.1%),2175,105,825,700,365,175,2460,0,55,690,615,1085,835,0,0,80,200,545,580,0,0,0,60,520,385,0,0,0,40,340
Drummond (2449) 00000 (  2.5%),17080,730,7085,4965,3110,1185,17145,20,785,4005,4750,7595,5475,0,180,450,1145,3695,4975,0,30,140,515,4280,2800,0,0,45,270,2465
Nicolet-Yamaska (2450) 00000 (  2.2%),3495,145,1400,1070,605,280,3695,20,200,830,1070,1575,1155,0,45,95,280,735,1005,0,0,25,95,870,565,0,0,0,50,505
Maskinongé (2451) 00000 (  3.2%),5685,245,2455,1680,845,460,6840,15,230,1635,1940,3025,1870,0,40,140,315,1370,1580,0,20,30,175,1360,785,0,0,0,80,700
D'Autray (2452) 00000 (  3.6%),6010,270,2640,1620,970,515,7605,15,460,1875,2275,2975,2510,0,85,250,585,1585,1895,0,0,60,275,1545,1080,0,0,30,80,965
Pierre-De Saurel (2453) 00000 (  2.5%),9080,315,3905,2335,1455,1070,9695,25,405,2320,2560,4380,2735,0,75,195,475,1990,2030,0,15,60,230,1715,930,0,0,20,45,860
Les Maskoutains (2454) 00000 (  3.1%),14040,480,5895,4265,2415,995,13875,0,575,2965,4010,6310,4575,0,135,425,1000,2995,3990,0,45,135,475,3345,2345,0,25,40,280,2000
Rouville (2455) 00000 (  2.5%),4385,180,1845,1460,670,230,5750,0,465,1550,1675,2050,2145,0,50,245,565,1285,1915,0,15,70,295,1540,1080,0,0,30,150,895
Le Haut-Richelieu (2456) 00000 (  2.7%),16605,790,7420,4875,2500,1020,18960,35,1390,4430,5660,7445,6850,0,210,720,1465,4440,6225,0,40,195,895,5090,3175,0,0,70,345,2755
La Vallée-du-Richelieu (2457) 00000 (  1.8%),13045,830,6110,3560,1775,775,18870,85,2425,4650,5875,5835,8025,15,335,1095,2260,4320,8450,0,80,460,1555,6345,3720,0,35,145,585,2960
Longueuil (2458) 00000 (  2.7%),60025,3215,23325,18235,9880,5370,62475,305,5470,13125,17460,26110,25960,50,1010,3380,6005,15510,23510,20,430,1440,3640,17985,12195,25,105,605,1930,9530
Marguerite-D'Youville (2459) 00000 (  1.7%),7555,435,3510,2255,1065,295,11420,50,1355,3020,3550,3450,5065,0,200,660,1500,2705,5200,0,40,270,975,3910,2270,0,0,95,510,1660
L'Assomption (2460) 00000 (  1.8%),13390,575,6305,4015,1775,715,18460,70,2010,4735,5850,5795,7755,0,270,1020,2055,4400,7195,0,80,320,1340,5450,4210,0,25,180,635,3370
Joliette (2461) 00000 (  2.3%),11665,405,4770,3375,2005,1105,11840,15,510,2705,3300,5305,3700,0,120,270,870,2445,3015,0,30,85,330,2570,1650,0,0,65,140,1440
Matawinie (2462) 00000 (  7.9%),9345,285,3725,2505,1685,1155,10870,40,475,2355,3040,4960,2580,0,70,215,490,1810,1895,0,0,75,265,1545,990,0,0,20,140,820
Montcalm (2463) 00000 (  2.9%),6255,280,2765,1790,1055,360,8530,40,845,2120,2500,3030,3710,0,110,575,980,2045,3005,0,35,150,620,2205,1870,0,0,75,310,1485
Les Moulins (2464) 00000 (  1.8%),15115,815,6935,4485,2065,815,22060,85,2975,6035,6625,6335,10615,0,380,1570,2950,5710,10740,0,105,745,2270,7610,6065,0,35,240,1240,4550
Laval (2465) 00000 (  3.1%),45875,2390,20780,12935,6520,3255,52030,255,6845,12705,15015,17205,26000,30,1055,3625,6890,14395,27435,25,465,2030,5580,19335,16115,0,115,870,3335,11800
