,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing
Division No. 8 (1008) 00000 (  7.1%),415,405,140,20,0,0,255,255,130,105,105,0,0,0,0,20,20,0,1550,1530,435,45,25,20,480,480,350,410,410,70,295,295,0,325,325,0
Division No. 9 (1009) 00000 (  8.6%),205,205,90,0,0,0,140,135,70,30,30,0,0,0,0,25,25,0,515,510,145,30,15,15,175,175,105,110,110,15,115,115,0,90,90,0
Division No. 10 (1010) 00000 (  5.3%),600,595,115,160,145,75,105,105,35,95,95,0,105,105,0,140,140,0,1635,1590,145,105,65,50,395,395,85,375,375,10,440,440,0,315,315,0
Division No. 11 (1011) 01111 ( 14.1%),70,70,20,10,10,10,25,25,10,15,15,0,0,0,0,20,20,0,190,190,65,10,10,10,35,35,15,20,20,10,60,60,30,70,70,0
Kings (1101) 00000 (  7.3%),310,300,85,15,0,0,180,180,65,60,60,0,30,30,0,20,20,0,990,975,245,20,0,0,295,295,195,280,275,45,190,190,0,215,215,0
Queens (1102) 00000 (  5.1%),1395,1340,410,140,100,85,850,845,290,270,270,35,100,100,0,30,30,0,9865,9355,1620,740,270,210,2430,2395,1200,2480,2480,200,2230,2230,0,1980,1980,0
Prince (1103) 00000 (  5.9%),890,860,210,105,90,65,445,425,120,250,250,25,75,75,0,20,20,0,4020,3980,620,90,65,60,1005,990,470,1095,1095,85,975,975,0,855,855,0
Shelburne (1201) 00000 (  8.9%),190,190,125,50,50,45,95,95,65,40,40,0,0,0,0,0,0,0,885,875,290,60,45,45,240,240,195,265,265,50,170,170,0,150,150,0
Yarmouth (1202) 00000 (  6.9%),585,575,240,60,50,45,280,280,160,155,155,30,60,60,0,30,30,0,2130,2055,470,90,35,25,535,525,380,515,505,55,500,500,0,495,495,0
Digby (1203) 00000 (  8.3%),280,270,110,45,35,20,135,135,60,55,55,20,25,25,0,0,0,0,1280,1215,410,95,45,35,315,305,225,300,300,130,305,305,20,270,270,0
Queens (1204) 00001 (  7.7%),195,190,75,0,0,0,115,115,65,25,25,0,35,35,0,0,0,0,705,675,210,35,0,0,245,235,180,185,185,0,120,120,0,120,120,0
Annapolis (1205) 00000 (  6.8%),300,300,155,25,25,20,135,135,85,100,100,50,0,0,0,25,25,0,1570,1495,580,115,45,40,405,395,340,370,370,170,350,350,30,330,330,0
Lunenburg (1206) 00000 (  5.7%),460,420,215,35,0,0,325,315,195,50,50,0,25,25,0,20,20,0,3790,3625,840,250,120,115,880,840,575,920,915,140,880,880,0,870,870,0
Kings (1207) 00000 (  5.5%),865,825,350,145,110,90,460,455,245,115,115,0,90,90,0,60,60,0,6915,6630,1585,600,355,325,1825,1790,1140,1665,1665,110,1530,1530,0,1290,1290,0
Hants (1208) 00000 (  4.5%),370,360,175,70,60,45,225,225,125,65,65,0,0,0,0,0,0,0,2785,2630,575,250,120,105,720,695,405,735,735,65,635,635,0,445,445,0
Halifax (1209) 00000 (  4.7%),5685,5320,2910,1535,1190,945,2805,2785,1785,690,690,170,405,405,0,250,250,0,63050,58515,14415,6925,2830,2405,16195,15770,10515,15895,15885,1385,13345,13345,105,10690,10690,0
Colchester (1210) 00000 (  5.8%),780,735,365,110,75,60,485,480,300,120,120,0,35,35,0,25,25,0,5725,5480,1265,345,140,120,1550,1510,970,1435,1430,175,1195,1195,0,1205,1205,0
Cumberland (1211) 00000 (  6.6%),665,655,220,80,70,45,365,365,140,155,155,45,30,30,0,35,35,0,2545,2465,820,125,55,35,700,700,525,635,635,245,580,580,0,500,500,0
Pictou (1212) 00000 (  6.3%),780,760,290,110,100,55,485,480,215,105,105,0,45,45,0,30,30,0,3945,3815,990,275,170,150,1120,1105,725,995,995,115,845,845,0,700,700,0
Guysborough (1213) 00000 (  8.6%),150,150,90,0,0,0,110,110,75,20,20,0,0,0,0,0,0,0,300,295,85,0,0,0,110,110,65,55,55,0,50,45,0,80,80,0
Antigonish (1214) 00000 (  4.9%),275,265,80,45,40,35,150,145,30,40,40,0,25,25,0,15,15,0,1620,1540,215,85,30,25,490,475,140,395,390,40,315,315,0,330,330,0
Inverness (1215) 00000 (  6.1%),380,370,210,45,40,30,250,250,165,65,65,0,0,0,0,20,20,0,915,875,270,90,45,45,275,275,195,185,185,30,210,210,0,150,150,0
Richmond (1216) 00000 (  9.2%),135,130,75,25,20,20,95,90,50,25,25,0,0,0,0,0,0,0,455,440,160,65,50,45,120,115,85,115,115,30,70,70,0,90,90,0
Cape Breton (1217) 00000 (  5.8%),2905,2765,1080,505,390,315,1600,1575,705,515,515,35,200,200,20,80,80,0,8685,8275,2495,1005,630,580,2325,2290,1470,2245,2245,375,1615,1615,70,1485,1485,0
Victoria (1218) 00000 (  7.6%),65,60,20,0,0,0,40,35,0,15,15,0,0,0,0,0,0,0,295,295,50,0,0,0,80,80,45,70,70,0,65,65,0,75,75,0
Saint John (1301) 00000 (  5.8%),2075,2025,710,530,480,265,1010,1010,395,405,405,50,95,95,0,40,40,0,11470,11045,2220,855,460,410,2920,2895,1625,2840,2835,190,2585,2580,0,2270,2270,0
Charlotte (1302) 00000 (  5.3%),270,260,65,40,40,30,150,145,35,40,40,0,0,0,0,25,25,0,1765,1675,460,150,80,75,540,520,325,390,390,50,380,380,0,305,305,0
Sunbury (1303) 00000 (  4.3%),355,355,20,0,0,0,55,55,0,80,80,0,150,150,0,60,60,0,1935,1910,240,85,60,55,375,370,180,465,465,0,640,640,0,375,375,0
Queens (1304) 00000 (  5.8%),80,80,0,0,0,0,40,40,0,15,15,0,0,0,0,0,0,0,495,495,160,40,40,35,115,115,75,115,115,35,130,130,0,90,90,0
Kings (1305) 00000 (  3.9%),355,345,100,70,70,45,195,195,55,50,50,0,20,20,0,0,0,0,3000,2905,650,280,190,170,1140,1130,465,690,690,0,505,505,0,390,390,0
Albert (1306) 00000 (  3.1%),155,135,45,0,0,0,90,70,35,50,50,0,0,0,0,0,0,0,2105,1995,315,65,40,40,745,680,270,575,560,0,485,485,0,230,230,0
Westmorland (1307) 00000 (  4.8%),2475,2385,825,615,545,270,1305,1290,520,355,355,40,115,115,0,80,80,0,17115,16375,3325,1205,555,440,5160,5080,2610,4805,4790,265,3570,3570,0,2375,2375,0
Kent (1308) 00000 (  6.0%),375,365,160,55,50,45,160,160,85,115,110,25,35,35,0,20,20,0,1645,1610,345,70,45,35,450,440,230,515,515,75,355,355,0,255,255,0
Northumberland (1309) 00000 (  4.1%),640,620,220,145,125,85,310,310,115,120,120,20,45,45,0,20,20,0,2765,2670,620,195,100,90,885,885,455,760,750,75,585,585,0,345,345,0
York (1310) 00000 (  4.1%),1330,1240,495,390,300,170,615,615,265,210,205,55,55,55,0,60,60,0,10590,10005,2285,830,290,210,2935,2895,1810,2845,2840,260,2355,2355,0,1625,1625,0
Carleton (1311) 00000 (  4.5%),345,325,125,95,70,50,135,135,70,85,85,0,30,30,0,0,0,0,2045,2005,410,80,50,50,510,500,300,560,555,55,470,470,0,425,425,0
Victoria (1312) 00000 (  6.3%),300,275,90,45,30,30,130,120,45,90,90,0,30,30,0,0,0,0,1540,1510,335,70,40,35,465,455,215,425,425,75,320,320,0,265,265,0
Madawaska (1313) 00000 (  4.7%),675,645,175,140,115,90,325,320,80,125,125,0,55,55,0,30,30,0,2875,2790,470,220,150,145,960,955,300,760,760,20,510,510,0,425,425,0
Restigouche (1314) 00000 (  6.3%),650,635,205,85,80,60,300,295,130,160,160,0,70,70,0,25,25,0,2290,2250,535,155,130,125,655,645,370,690,680,40,395,395,0,400,400,0
Gloucester (1315) 00000 (  6.3%),1275,1225,310,330,305,215,600,580,95,240,240,0,80,80,0,20,20,0,5800,5635,875,500,375,335,1835,1810,465,1595,1590,70,1015,1015,0,850,850,0
Les Îles-de-la-Madeleine (2401) 00000 (  4.5%),190,190,0,0,0,0,145,145,0,0,0,0,0,0,0,0,0,0,1120,1110,120,35,35,25,405,395,90,320,320,0,205,205,0,155,155,0
Le Rocher-Percé (2402) 00000 (  6.4%),385,385,45,0,0,0,250,250,30,60,60,0,55,55,0,0,0,0,1785,1750,230,60,30,20,530,530,185,510,510,20,315,310,0,365,365,0
La Côte-de-Gaspé (2403) 00000 (  4.3%),350,350,55,40,40,30,220,220,25,70,70,0,20,20,0,0,0,0,1600,1570,195,90,60,45,480,480,135,510,510,0,240,240,0,280,280,0
La Haute-Gaspésie (2404) 00000 (  5.2%),290,285,40,0,0,0,180,180,30,55,55,0,40,40,0,0,0,0,1070,1050,235,30,15,15,395,385,200,225,225,20,210,210,0,210,210,0
Bonaventure (2405) 00000 (  5.9%),280,270,45,20,20,0,175,165,35,65,65,0,0,0,0,0,0,0,1750,1740,310,80,75,65,560,555,190,490,490,40,335,335,0,280,280,0
Avignon (2406) 00000 (  7.8%),235,235,45,0,0,0,165,165,35,35,35,0,0,0,0,0,0,0,1180,1155,235,70,55,40,445,435,175,350,345,25,155,155,0,160,160,0
La Matapédia (2407) 00000 (  7.2%),430,425,75,0,0,0,305,295,55,60,60,0,35,35,0,25,25,0,1615,1575,325,90,60,45,580,575,215,465,465,40,300,300,15,175,175,0
Matane (2408) 00000 (  5.5%),380,370,55,20,0,0,230,230,35,80,80,0,30,30,0,25,25,0,2580,2535,385,130,90,80,855,855,290,710,710,15,555,555,0,325,325,0
La Mitis (2409) 00000 (  6.2%),365,365,50,0,0,0,240,240,50,80,80,0,25,25,0,0,0,0,1755,1705,325,50,20,0,575,565,270,455,440,35,390,390,0,290,290,0
Rimouski-Neigette (2410) 00000 (  3.7%),1120,1060,195,115,100,30,720,680,160,180,180,0,85,85,0,25,25,0,7855,7600,1015,615,390,310,2390,2355,695,2240,2240,0,1570,1570,0,1050,1050,0
Les Basques (2411) 00000 (  4.0%),140,140,30,0,0,0,95,95,20,25,25,0,0,0,0,0,0,0,810,800,105,0,0,0,295,285,95,200,200,0,185,185,0,115,115,0
Rivière-du-Loup (2412) 00000 (  5.3%),530,520,50,30,30,0,335,335,30,95,90,0,60,60,0,0,0,0,4505,4435,475,205,165,135,1470,1440,320,1225,1225,0,875,875,0,730,730,0
Témiscouata (2413) 00000 (  5.3%),520,515,60,55,45,15,315,315,45,100,100,0,35,35,0,0,0,0,1610,1595,190,30,25,25,565,565,150,490,490,0,310,305,0,205,205,0
Kamouraska (2414) 00000 (  5.0%),255,255,35,0,0,0,210,210,30,20,20,0,15,15,0,0,0,0,1870,1815,210,90,50,30,585,575,170,500,500,15,430,425,0,265,265,0
Charlevoix-Est (2415) 00000 (  4.5%),150,150,30,20,20,0,95,95,25,30,30,0,0,0,0,0,0,0,1595,1565,200,70,50,35,635,635,170,400,395,0,265,265,0,235,235,0
Charlevoix (2416) 00000 (  5.5%),105,105,0,0,0,0,80,80,0,25,25,0,0,0,0,0,0,0,1385,1375,230,50,40,40,410,410,170,345,345,15,360,360,0,215,215,0
L'Islet (2417) 00000 (  3.4%),250,245,15,20,20,0,175,175,15,25,25,0,20,20,0,0,0,0,1400,1385,185,30,20,15,440,440,150,420,420,20,280,280,0,225,225,0
Montmagny (2418) 00000 (  3.9%),375,375,70,25,20,20,250,250,45,70,70,0,30,30,0,0,0,0,2580,2530,390,110,80,65,765,750,295,710,710,25,540,540,0,450,450,0
Bellechasse (2419) 00000 (  4.1%),430,415,80,65,60,20,310,295,60,40,40,0,0,0,0,0,0,0,2800,2745,310,120,70,55,790,775,225,975,975,20,590,590,0,330,330,0
L'Île-d'Orléans (2420) 00000 (  4.7%),15,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,505,500,35,20,15,15,140,140,20,185,185,0,80,80,0,80,80,0
La Côte-de-Beaupré (2421) 00000 (  5.4%),145,145,25,30,30,0,115,115,20,0,0,0,0,0,0,0,0,0,1900,1850,225,130,90,85,670,650,130,555,555,0,320,320,0,230,230,0
La Jacques-Cartier (2422) 00000 (  3.0%),150,150,15,25,25,0,50,50,0,40,40,0,25,25,0,0,0,0,2040,1990,210,180,140,105,480,475,100,560,560,0,570,570,0,250,250,0
Québec (2423) 00000 (  4.4%),13485,13045,2750,1495,1320,575,8455,8190,2040,2010,2005,140,1005,1005,0,520,520,0,106585,102925,15570,5975,2855,2230,26965,26450,12770,29760,29730,565,24885,24885,0,19005,19005,0
Lévis (2425) 00000 (  4.1%),1655,1640,325,390,385,125,755,745,185,335,335,0,130,130,0,45,45,0,16925,16670,2170,950,730,620,5275,5250,1545,5300,5295,0,3530,3530,0,1865,1865,0
La Nouvelle-Beauce (2426) 00000 (  4.2%),175,165,0,55,45,0,95,95,0,20,20,0,0,0,0,0,0,0,2940,2895,205,155,115,110,900,900,95,865,865,0,715,715,0,305,305,0
Robert-Cliche (2427) 00000 (  4.5%),255,240,35,0,0,0,180,165,25,25,25,0,25,25,0,0,0,0,1690,1655,140,100,80,65,485,475,80,580,575,0,340,340,0,185,185,0
Les Etchemins (2428) 00000 (  4.2%),255,245,55,30,30,20,175,175,30,40,40,0,0,0,0,0,0,0,1155,1145,160,55,45,40,360,360,105,335,335,0,230,230,0,180,180,0
Beauce-Sartigan (2429) 00000 (  5.6%),580,540,90,50,50,35,415,385,55,70,70,0,30,30,0,0,0,0,6300,6145,755,305,210,185,2035,1985,570,1675,1665,0,1415,1410,0,870,870,0
Le Granit (2430) 00000 (  5.5%),150,150,35,20,20,0,100,100,20,15,15,0,0,0,0,0,0,0,1910,1880,350,115,105,85,560,550,225,490,490,25,415,415,0,320,320,0
Les Appalaches (2431) 00000 (  5.3%),545,515,60,55,45,15,395,365,45,55,55,0,15,15,0,25,25,0,4590,4500,505,225,160,145,1520,1495,360,1330,1330,0,890,885,0,630,630,0
L'Érable (2432) 00000 (  5.0%),235,235,25,0,0,0,160,155,15,35,35,0,20,20,0,15,15,0,2450,2425,235,110,95,85,735,730,145,720,710,0,560,560,0,330,330,0
Lotbinière (2433) 00000 (  2.5%),215,215,50,25,25,20,160,160,30,30,30,0,0,0,0,0,0,0,2445,2415,235,130,95,80,725,725,140,735,735,0,555,555,0,305,305,0
Portneuf (2434) 00000 (  3.2%),510,495,80,80,70,20,345,335,55,45,45,0,45,45,0,0,0,0,4415,4340,625,210,155,125,1580,1560,490,1185,1185,0,825,825,0,620,620,0
Mékinac (2435) 00000 (  4.4%),140,125,0,15,0,0,95,90,0,20,20,0,0,0,0,0,0,0,1050,1020,145,30,20,15,375,365,115,330,330,0,160,160,0,150,150,0
Shawinigan (2436) 00000 (  5.4%),825,810,175,30,30,20,610,605,155,110,110,0,60,60,0,15,15,0,9710,9480,1540,395,225,195,3380,3355,1325,2210,2195,0,2035,2020,0,1690,1690,0
Francheville (2437) 00000 (  4.0%),2600,2545,395,190,170,85,1780,1745,295,380,380,20,205,205,0,45,45,0,26640,25940,3445,1650,1025,875,8270,8205,2520,6980,6975,55,5665,5660,0,4070,4070,0
Bécancour (2438) 00000 (  4.2%),370,365,35,45,40,15,255,255,15,50,50,0,20,20,0,0,0,0,1655,1615,175,105,80,65,535,530,90,405,400,0,385,380,0,230,230,0
Arthabaska (2439) 00000 (  4.1%),810,805,135,80,75,60,475,475,75,140,140,0,65,65,0,50,50,0,8885,8700,1030,570,415,355,2735,2710,665,2415,2410,0,1860,1860,0,1305,1305,0
Les Sources (2440) 00000 (  6.0%),175,175,20,0,0,0,115,115,0,40,40,0,0,0,0,0,0,0,1765,1745,225,80,65,55,545,545,155,440,440,0,375,375,0,325,325,0
Le Haut-Saint-François (2441) 00000 (  5.4%),240,235,35,0,0,0,115,110,30,75,75,0,25,25,0,0,0,0,1845,1805,290,80,60,55,555,540,205,550,545,20,365,365,0,290,290,0
Le Val-Saint-François (2442) 00000 (  5.1%),430,430,95,70,70,35,265,265,55,55,55,0,30,30,0,0,0,0,2950,2885,310,150,95,85,865,855,220,740,740,0,715,715,0,480,480,0
Sherbrooke (2443) 00000 (  4.0%),2800,2730,680,340,295,170,1630,1610,480,470,460,30,245,245,0,120,120,0,32755,31565,4410,2305,1235,965,9245,9145,3240,8175,8160,205,7365,7360,0,5665,5665,0
Coaticook (2444) 00000 (  4.0%),175,175,25,0,0,0,125,125,15,30,30,0,0,0,0,0,0,0,1990,1980,165,25,25,20,535,530,145,685,685,0,425,425,0,320,320,0
Memphrémagog (2445) 00000 (  5.6%),505,495,95,65,65,30,315,310,65,75,75,0,30,30,0,0,0,0,5725,5600,775,330,225,195,1665,1650,555,1550,1545,25,1190,1190,0,990,990,0
Brome-Missisquoi (2446) 00000 (  4.7%),650,640,110,60,50,25,430,430,80,85,85,0,60,60,0,20,20,0,7005,6820,830,435,265,230,1950,1935,545,1990,1990,50,1425,1425,0,1200,1200,0
La Haute-Yamaska (2447) 00000 (  5.0%),945,915,135,100,85,30,540,530,105,195,195,0,80,80,0,25,25,0,14370,14080,1920,640,410,380,4155,4105,1445,3855,3855,85,3275,3275,0,2435,2435,0
Acton (2448) 00000 (  6.0%),160,155,40,20,20,20,105,105,20,25,20,0,0,0,0,0,0,0,1625,1595,215,85,55,55,430,430,145,380,380,0,445,445,0,280,280,0
Drummond (2449) 00000 (  4.5%),1370,1370,380,130,130,80,930,920,275,210,210,20,75,75,0,30,30,0,16125,15770,2200,860,535,480,4755,4720,1645,4150,4150,70,3725,3725,0,2645,2645,0
Nicolet-Yamaska (2450) 00000 (  5.3%),305,305,35,0,0,0,210,210,25,70,70,0,0,0,0,0,0,0,2160,2125,275,110,85,85,635,625,185,610,605,0,450,450,0,365,365,0
Maskinongé (2451) 00000 (  4.3%),400,380,50,25,20,0,250,250,45,90,80,0,35,35,0,0,0,0,3520,3460,425,105,70,55,1120,1100,360,960,960,15,695,695,0,640,640,0
D'Autray (2452) 00000 (  6.1%),350,340,70,20,0,0,185,180,55,80,80,0,40,40,0,25,25,0,4280,4170,815,190,95,75,1335,1320,690,1155,1155,40,910,910,0,690,690,0
Pierre-De Saurel (2453) 00000 (  4.2%),630,620,105,55,55,15,445,445,90,80,80,0,35,35,0,0,0,0,7290,7155,1225,465,355,345,2365,2335,815,1930,1925,60,1290,1290,0,1245,1245,0
Les Maskoutains (2454) 00000 (  3.8%),1255,1225,225,70,65,30,835,825,195,230,220,0,80,80,0,35,35,0,13645,13360,1900,665,410,330,3770,3745,1450,3510,3510,115,3255,3255,0,2440,2440,0
Rouville (2455) 00000 (  5.3%),290,290,65,40,40,20,185,185,45,55,55,0,0,0,0,0,0,0,3905,3830,520,225,155,150,1145,1135,360,1170,1170,0,870,870,0,505,505,0
Le Haut-Richelieu (2456) 00000 (  4.4%),1235,1210,275,145,125,45,825,820,230,185,185,0,75,75,0,0,0,0,15835,15465,3470,1025,700,625,4935,4895,2720,4290,4290,120,3410,3410,0,2170,2170,0
La Vallée-du-Richelieu (2457) 00000 (  2.9%),840,800,185,265,235,100,470,455,85,85,85,0,25,25,0,0,0,0,8285,8115,1280,645,485,440,2970,2955,830,2410,2410,0,1540,1540,0,725,725,0
Longueuil (2458) 00000 (  3.4%),4870,4720,1270,520,465,265,2870,2780,905,795,790,100,395,395,0,285,285,0,59055,56760,11525,4170,2165,1895,16005,15730,8895,15140,15125,715,13455,13455,20,10290,10290,0
Marguerite-D'Youville (2459) 00000 (  2.9%),255,240,65,60,50,20,165,160,45,25,25,0,0,0,0,0,0,0,5595,5435,745,435,280,260,2055,2050,485,1570,1570,0,1065,1065,0,470,470,0
L'Assomption (2460) 00000 (  2.4%),780,770,185,95,85,40,530,525,140,125,125,0,30,30,0,0,0,0,11255,10950,2285,835,545,485,4005,3985,1765,3180,3180,30,2170,2170,0,1070,1070,0
Joliette (2461) 00000 (  5.3%),1155,1120,305,50,45,35,770,745,260,185,185,15,115,115,0,35,35,0,10850,10590,2220,390,205,170,3065,2990,1825,2810,2810,215,2520,2515,0,2070,2070,0
Matawinie (2462) 00000 (  7.3%),275,275,55,0,0,0,200,200,50,45,45,0,0,0,0,15,15,0,4220,4050,1030,330,190,130,1295,1260,740,1110,1110,145,815,815,0,670,670,0
Montcalm (2463) 00000 (  4.5%),245,240,80,25,20,0,195,195,65,0,0,0,0,0,0,0,0,0,4640,4535,855,240,140,120,1375,1360,690,1175,1170,50,1110,1110,0,740,740,0
Les Moulins (2464) 00000 (  3.5%),590,565,165,140,130,75,355,340,95,65,65,0,20,20,0,0,0,0,11735,11395,2030,960,635,555,3970,3960,1460,3485,3485,15,2200,2200,0,1115,1115,0
Laval (2465) 00000 (  3.0%),3205,3115,935,555,495,265,1710,1685,625,560,560,40,275,275,0,90,90,0,45805,43925,8805,4040,2315,2015,13435,13285,6485,13050,13040,300,9620,9620,0,5660,5660,0
Montréal (2466) 00000 (  4.4%),45175,43915,12395,3195,2340,1350,24815,24445,9200,8130,8100,1590,5350,5350,260,3680,3680,0,475780,443380,92330,38385,10975,9055,102805,98065,68300,98130,97920,13920,106920,106885,1050,129540,129540,0
Roussillon (2467) 20000 (  2.5%),1285,1245,340,300,280,145,725,705,185,195,195,0,60,60,0,0,0,0,12715,12300,2370,1135,720,660,4450,4445,1680,3665,3665,30,2300,2300,0,1175,1175,0
Les Jardins-de-Napierville (2468) 00000 (  4.5%),175,160,30,0,0,0,110,100,25,30,30,0,15,15,0,0,0,0,2615,2545,450,150,105,90,810,785,315,745,745,40,525,525,0,385,385,0
Le Haut-Saint-Laurent (2469) 00000 (  6.6%),185,185,45,25,25,15,120,120,30,35,35,0,0,0,0,0,0,0,1785,1745,350,105,65,65,575,570,250,450,450,25,355,355,0,295,295,0
Beauharnois-Salaberry (2470) 00000 (  3.7%),835,825,210,90,80,65,580,575,150,115,115,0,30,30,0,20,20,0,10195,9965,2140,650,440,405,3095,3070,1595,2675,2670,145,2175,2175,0,1605,1605,0
Vaudreuil-Soulanges (2471) 00000 (  2.6%),450,445,110,75,70,50,320,320,65,40,40,0,0,0,0,0,0,0,9665,9365,1695,820,540,490,3165,3150,1160,2770,2770,45,1865,1865,0,1040,1040,0
Deux-Montagnes (2472) 20000 (  2.8%),960,895,235,120,95,55,635,605,180,130,130,0,50,50,0,20,20,0,8645,8410,1915,705,505,465,2850,2815,1385,2460,2460,65,1745,1745,0,880,880,0
Thérèse-De Blainville (2473) 00000 (  3.4%),940,915,200,160,135,65,530,530,130,105,105,0,105,105,0,35,35,0,15565,15120,2765,1050,665,555,4580,4515,2100,4430,4430,105,3295,3295,0,2210,2210,0
Mirabel (2474) 00000 (  2.8%),185,185,50,35,35,25,130,130,30,0,0,0,0,0,0,0,0,0,5535,5415,835,365,245,220,1635,1635,610,1800,1800,0,1190,1190,0,550,550,0
La Rivière-du-Nord (2475) 00000 (  4.6%),1130,1105,395,115,100,60,715,700,310,170,170,20,85,85,0,40,40,0,17285,16750,4540,1100,660,580,5335,5235,3570,4385,4385,380,3790,3790,0,2680,2680,0
