,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing
,Total – Private households by household income proportion to AMHI_1,Total – Private households by household income proportion to AMHI_1,Total – Private households by household income proportion to AMHI_1,  Households with income 20% or under of area median household income (AMHI),  Households with income 20% or under of area median household income (AMHI),  Households with income 20% or under of area median household income (AMHI),  Households with income 21% to 50% of AMHI,  Households with income 21% to 50% of AMHI,  Households with income 21% to 50% of AMHI,  Households with income 51% to 80% of AMHI,  Households with income 51% to 80% of AMHI,  Households with income 51% to 80% of AMHI,  Households with income 81% to 120% of AMHI,  Households with income 81% to 120% of AMHI,  Households with income 81% to 120% of AMHI,  Households with income 121% or more of AMHI,  Households with income 121% or more of AMHI,  Households with income 121% or more of AMHI,Total – Private households by household income proportion to AMHI_1,Total – Private households by household income proportion to AMHI_1,Total – Private households by household income proportion to AMHI_1,  Households with income 20% or under of area median household income (AMHI),  Households with income 20% or under of area median household income (AMHI),  Households with income 20% or under of area median household income (AMHI),  Households with income 21% to 50% of AMHI,  Households with income 21% to 50% of AMHI,  Households with income 21% to 50% of AMHI,  Households with income 51% to 80% of AMHI,  Households with income 51% to 80% of AMHI,  Households with income 51% to 80% of AMHI,  Households with income 81% to 120% of AMHI,  Households with income 81% to 120% of AMHI,  Households with income 81% to 120% of AMHI,  Households with income 121% or more of AMHI,  Households with income 121% or more of AMHI,  Households with income 121% or more of AMHI
Geography,Total - Private households by core housing need status,  Households examined for core housing need,    Households in core housing need,Total - Private households by core housing need status,  Households examined for core housing need,    Households in core housing need,Total - Private households by core housing need status,  Households examined for core housing need,    Households in core housing need,Total - Private households by core housing need status,  Households examined for core housing need,    Households in core housing need,Total - Private households by core housing need status,  Households examined for core housing need,    Households in core housing need,Total - Private households by core housing need status,  Households examined for core housing need,    Households in core housing need,Total - Private households by core housing need status,  Households examined for core housing need,    Households in core housing need,Total - Private households by core housing need status,  Households examined for core housing need,    Households in core housing need,Total - Private households by core housing need status,  Households examined for core housing need,    Households in core housing need,Total - Private households by core housing need status,  Households examined for core housing need,    Households in core housing need,Total - Private households by core housing need status,  Households examined for core housing need,    Households in core housing need,Total - Private households by core housing need status,  Households examined for core housing need,    Households in core housing need
Canada (1) 20000 (  5.1%),575830,554730,237300,104215,87155,50345,308795,305000,157785,90645,90410,24135,43710,43695,4145,28465,28465,895,3865190,3621025,882610,325020,119220,97540,1014040,977430,609220,943060,941470,158670,818450,818285,16620,764625,764625,560
Division No. 1 (1001) 00000 (  6.2%),6055,5730,2475,1455,1155,845,3245,3215,1520,825,825,105,365,365,0,165,165,0,23025,21940,5245,2170,1200,980,7425,7315,3950,5715,5715,300,4040,4040,0,3665,3665,0
Division No. 2 (1002) 00000 (  7.9%),345,335,150,80,70,45,195,195,90,45,45,0,0,0,0,0,0,0,860,830,255,60,30,25,320,320,180,240,240,45,100,100,0,140,140,0
Division No. 3 (1003) 00000 (  8.7%),170,170,55,0,0,0,125,125,55,30,30,0,0,0,0,0,0,0,640,625,155,25,0,0,230,230,125,135,135,30,130,130,0,125,125,0
Division No. 4 (1004) 00000 (  7.4%),600,575,290,35,35,30,310,285,185,165,165,65,65,65,0,30,30,0,1860,1820,615,35,0,0,650,640,455,390,390,145,380,380,15,405,405,0
Division No. 5 (1005) 00000 (  7.8%),1170,1115,360,160,120,65,680,660,275,215,215,20,65,65,0,55,55,0,3490,3345,625,185,70,60,1025,1010,520,885,880,45,715,715,0,670,670,0
Division No. 6 (1006) 00000 (  7.0%),1135,1100,435,215,185,140,655,655,285,155,155,0,65,65,0,40,40,0,3525,3445,740,195,130,115,1195,1190,575,900,890,55,680,680,0,555,555,0
Division No. 7 (1007) 00000 (  7.7%),360,360,160,35,30,0,210,210,135,75,75,0,30,30,0,15,15,0,1860,1835,460,60,45,25,665,665,360,470,470,70,375,375,0,285,285,0
